symbol,date,1. open,2. high,3. low,4. close,5. volume
MELI,2023-10-20,1233.0800,1249.9800,1144.3000,1169.6700,1752238
MELI,2023-10-13,1218.8300,1277.9900,1206.0200,1223.5000,1268744
MELI,2023-10-06,1255.5900,1281.4000,1190.0100,1237.5300,1575613
MELI,2023-09-29,1266.0000,1301.4950,1240.0100,1267.8800,1568631
MELI,2023-09-22,1376.1000,1400.7500,1274.3700,1276.9600,1974450
MELI,2023-09-15,1439.0000,1439.0000,1363.5050,1396.6600,2089508
MELI,2023-09-08,1415.2500,1451.5600,1402.0100,1428.1900,2370319
MELI,2023-09-01,1245.5300,1421.9300,1235.0000,1421.6400,2580410
MELI,2023-08-25,1207.9900,1277.6350,1202.0100,1237.8400,1876262
MELI,2023-08-18,1305.9100,1313.0000,1180.5800,1199.5900,2590367
MELI,2023-08-11,1315.3600,1388.3900,1290.0100,1330.0000,2920985
MELI,2023-08-04,1235.0300,1326.6100,1150.0100,1296.1600,4031637
MELI,2023-07-28,1221.0300,1228.1400,1167.2500,1225.0200,2428908
MELI,2023-07-21,1128.3000,1232.5768,1128.3000,1221.0300,3491566
MELI,2023-07-14,1108.0400,1153.9999,1063.0200,1135.7200,3298272
MELI,2023-07-07,1190.0000,1248.7700,1145.5000,1153.8200,2268318
MELI,2023-06-30,1220.9000,1239.0283,1154.5000,1184.6000,2386717
MELI,2023-06-23,1190.0000,1242.0000,1182.0000,1226.4900,2056211
MELI,2023-06-16,1209.0000,1254.7300,1189.0500,1194.7400,2431190
MELI,2023-06-09,1268.7100,1292.2800,1186.1101,1208.5500,2218755
MELI,2023-06-02,1297.2500,1301.9792,1221.0700,1270.6700,1845697
MELI,2023-05-26,1313.3300,1365.6399,1246.8100,1282.2600,2200465
MELI,2023-05-19,1289.9300,1336.1700,1268.0600,1310.8800,2175803
MELI,2023-05-12,1242.5500,1317.2799,1242.5500,1279.6700,2066258
MELI,2023-05-05,1263.2200,1336.8100,1196.1600,1243.5900,2926698
MELI,2023-04-28,1282.0000,1294.2749,1227.5800,1277.4900,1682430
MELI,2023-04-21,1301.5200,1337.7500,1268.1200,1281.9200,1271739
MELI,2023-04-14,1225.2200,1319.9800,1210.2900,1301.8800,1678824
MELI,2023-04-06,1305.0000,1329.4900,1207.7000,1245.0000,1476134
MELI,2023-03-31,1198.0000,1325.6677,1182.6000,1318.0600,2164808
MELI,2023-03-24,1197.2800,1236.0234,1163.8400,1187.2800,2009893
MELI,2023-03-17,1152.7800,1228.7700,1124.0200,1201.1500,2616166
MELI,2023-03-10,1233.0000,1273.8600,1143.6200,1168.0400,2619964
MELI,2023-03-03,1172.8400,1227.9700,1153.3700,1226.7400,2767368
MELI,2023-02-24,1094.9000,1181.7000,1085.1500,1156.8800,3150574
MELI,2023-02-17,1111.1600,1164.0000,1083.1010,1100.8700,1851590
MELI,2023-02-10,1168.7000,1194.6200,1097.8300,1104.9500,2414493
MELI,2023-02-03,1190.6200,1250.4817,1152.4800,1187.2500,3069335
MELI,2023-01-27,1097.6700,1233.2750,1073.1600,1221.2700,3027639
MELI,2023-01-20,1081.2700,1108.6000,1040.4676,1098.0900,2662548
MELI,2023-01-13,891.2600,1091.8500,881.9950,1082.9200,3557829
MELI,2023-01-06,867.5800,879.4200,815.8550,873.4700,1938746
MELI,2022-12-30,872.9900,874.3800,830.0100,846.2400,1579255
MELI,2022-12-23,844.2400,908.9900,843.5200,878.3200,2432499
MELI,2022-12-16,885.2800,942.0900,818.2200,843.9800,3361405
MELI,2022-12-09,933.1900,935.9400,845.0200,896.4800,2441993
MELI,2022-12-02,941.1000,957.0000,879.1050,945.0700,3020829
MELI,2022-11-25,948.4500,975.4600,915.7950,951.5700,1291167
MELI,2022-11-18,966.1600,1039.3900,910.8401,962.0800,3268983
MELI,2022-11-11,957.0000,1006.1800,896.0700,974.8900,3908917
MELI,2022-11-04,874.5500,1018.0000,840.0000,938.5700,4576204
MELI,2022-10-28,838.7400,881.9300,792.4570,881.7500,2892427
MELI,2022-10-21,793.7900,911.5200,793.7900,844.9000,3664750
MELI,2022-10-14,883.0000,885.2550,754.7600,756.8800,3224474
MELI,2022-10-07,859.4200,962.0700,832.0000,881.9900,3290247
MELI,2022-09-30,817.0800,871.3211,790.1500,827.7800,2982362
MELI,2022-09-23,900.2000,933.7000,808.0000,815.0100,2824825
MELI,2022-09-16,974.8300,1011.9900,904.8800,919.1100,3097802
MELI,2022-09-09,855.3300,976.2000,831.3500,970.9900,3207004
MELI,2022-09-02,854.0100,903.4500,812.4600,855.9100,2592817
MELI,2022-08-26,880.8800,934.5950,860.0000,877.8000,2845120
MELI,2022-08-19,1073.0000,1095.3400,904.2100,909.7600,3264860
MELI,2022-08-12,1042.0800,1090.6036,972.7300,1081.0800,2879369
MELI,2022-08-05,805.5400,1084.9899,785.0000,1024.8100,4545456
